dataset,seed,model_id,label,abbrev,family,MAPE,RMSPE,MAAPE,MASE,MSE,R2,cost_selected,epsilon_selected,sigma_selected,gamma_selected,sym_type_selected,mtry_selected,xgb_trees_selected,xgb_lr_selected,xgb_depth_selected
diabetes,8,m1,SVR-MAPE,SVR-MAPE,psvr,33.112137153666026,43.58387610622695,18.95745868475678,0.4602526151631784,2737.681971462804,0.48870120576967413,49.79529241931388,0.017503508954587372,3.837596219065086,0.033950912332801494,NA,NA,NA,NA,NA
diabetes,8,m2,SVR-MAPE + Sym. Kernel,SVR-MAPE+SK,psvr,36.16860022368298,47.663590155651534,20.380747379354684,0.5023959667597104,3212.789167168622,0.39996857034060795,92.43655000430554,0.8080036013875002,6.586444667577961,0.011525715863059683,odd,NA,NA,NA,NA
diabetes,8,m3a,LS-RMSPE (MAPE opt.),LS-RMSPE-M,psvr,40.87984960651321,46.87518737949713,23.75350969193636,0.732116624638806,7861.4325557136935,-0.4682278761954628,99.97335001898952,NA,2.739144802480265,0.066640772293201,NA,NA,NA,NA,NA
diabetes,8,m3b,LS-RMSPE (RMSPE opt.),LS-RMSPE-R,psvr,40.84218034726901,46.803541987142374,23.741372247839987,0.732337620271696,7868.040713904614,-0.4694620382896435,99.27262672308244,NA,3.2106183194494355,0.04850568538345193,NA,NA,NA,NA,NA
diabetes,8,m4a,LS-RMSPE + Sym. Kernel (MAPE opt.),LS-RMSPE+SK-M,psvr,40.82099907373279,46.80749124747905,23.727377357526464,0.7325217184758759,7878.544815414398,-0.4714238200058578,99.49683136875726,NA,3.1043611945747074,0.05188305164066012,odd,NA,NA,NA,NA
diabetes,8,m4b,LS-RMSPE + Sym. Kernel (RMSPE opt.),LS-RMSPE+SK-R,psvr,40.81749506923044,46.79901474035352,23.72669789504685,0.7325858485995691,7880.119595463831,-0.47171793128278683,99.79392315843656,NA,3.2010657599485004,0.04879561682867936,odd,NA,NA,NA,NA
diabetes,8,b1,ε-SVR (MSE),SVR-MSE,baseline,41.58767377810618,61.93138391683662,21.72850756239633,0.465528894575412,2531.06911049397,0.52728892625256,0.37743067773999567,NA,0.266414277290976,7.044578515360545,NA,NA,NA,NA,NA
diabetes,8,b2,Random Forest,RF,baseline,43.924160795068794,65.36955782495406,22.351642467597735,0.4760362870915562,2638.8991464904725,0.5071502220635686,NA,NA,NA,NA,NA,2,NA,NA,NA
diabetes,8,b3,XGBoost,XGB,baseline,41.3151491770001,61.59535702013888,21.313934397432604,0.4406098726068374,2474.560433575494,0.5378426789064996,NA,NA,NA,NA,NA,NA,102,0.05008670110816691,3
diabetes,8,b4,Linear Regression,LR,baseline,45.680491255841474,68.78506263310979,22.82537391406478,0.481182821995528,2707.723657737465,0.4942963223115546,NA,NA,NA,NA,NA,NA,NA,NA,NA
diabetes,8,b5,WLS (1/y²),WLS,baseline,36.749740898354716,44.418716454714975,21.32620075249063,0.5848214579171139,4745.742693776417,0.11366895704151792,NA,NA,NA,NA,NA,NA,NA,NA,NA
diabetes,8,b6,Log-SVR,Log-SVR,baseline,38.40541582821321,57.65608045180712,20.484682812969783,0.4687362911217809,2796.055298299956,0.4777992047563493,1,0.1,NA,0.224,NA,NA,NA,NA,NA
diabetes,8,b7a,QR (τ = 0.5),QR,baseline,44.279236874388296,66.77666806970424,22.349350774783932,0.46996908689946515,2564.955713483605,0.5209601490498872,NA,NA,NA,NA,NA,NA,NA,NA,NA
diabetes,9,m1,SVR-MAPE,SVR-MAPE,psvr,32.79045414748939,44.70975977669788,18.753581308898752,0.5406301127223895,3986.612144457351,0.36266169881464205,95.97258058119733,0.9305186943798603,3.8483020712759286,0.033762274404993395,NA,NA,NA,NA,NA
diabetes,9,m2,SVR-MAPE + Sym. Kernel,SVR-MAPE+SK,psvr,35.18048578239375,48.42999852493144,19.871812486281787,0.6111761599481161,5232.028586891213,0.1635574040081671,31.509028059476567,0.03615572083487508,2.693343187153464,0.06892656162403583,odd,NA,NA,NA,NA
diabetes,9,m3a,LS-RMSPE (MAPE opt.),LS-RMSPE-M,psvr,45.57930253459701,53.732652734853815,25.851365348066572,0.8367280954070238,9663.376488375618,-0.5448806484419553,99.86669844616011,NA,2.8715951581977768,0.060635027593426205,NA,NA,NA,NA,NA
diabetes,9,m3b,LS-RMSPE (RMSPE opt.),LS-RMSPE-R,psvr,45.582726803604395,53.74425451240259,25.85331601610974,0.8367620005587753,9662.724521161235,-0.5447764186694601,99.18487283595671,NA,3.026880337554428,0.05457321001645296,NA,NA,NA,NA,NA
